level,token,prestige,DIAMOND,SAPPHIRE,EMERALD,RUBY,ONYX
1,ONYX,1,1,1,1,1,0
1,ONYX,1,1,2,1,1,0
1,ONYX,0,2,2,0,1,0
1,ONYX,0,0,0,1,3,1
1,ONYX,0,0,0,2,1,0
1,ONYX,0,2,0,2,0,0
1,ONYX,0,0,0,3,0,0
1,ONYX,0,0,4,0,0,0
1,SAPPHIRE,1,1,0,1,1,1
1,SAPPHIRE,1,1,0,1,2,1
1,SAPPHIRE,0,1,0,2,2,0
1,SAPPHIRE,0,0,1,3,1,0
1,SAPPHIRE,0,1,0,0,0,2
1,SAPPHIRE,0,0,0,2,0,2
1,SAPPHIRE,0,0,0,0,0,3
1,SAPPHIRE,0,0,0,0,4,0
1,DIAMOND,1,0,1,1,1,1
1,DIAMOND,1,0,1,2,1,1
1,DIAMOND,0,0,2,2,0,1
1,DIAMOND,0,3,1,0,0,1
1,DIAMOND,0,0,0,0,2,1
1,DIAMOND,0,0,2,0,0,2
1,DIAMOND,0,0,3,0,0,0
1,DIAMOND,0,4,0,0,0,0
1,EMERALD,1,1,1,0,1,1
1,EMERALD,1,1,1,0,1,2
1,EMERALD,0,0,1,0,2,2
1,EMERALD,0,1,3,1,0,0
1,EMERALD,0,2,1,0,0,0
1,EMERALD,0,0,2,0,2,0
1,EMERALD,0,0,0,0,3,0
1,EMERALD,0,0,0,4,0,0
1,RUBY,1,1,1,1,0,1
1,RUBY,1,2,1,1,0,1
1,RUBY,0,2,0,1,0,2
1,RUBY,0,1,0,0,1,3
1,RUBY,0,0,2,1,0,0
1,RUBY,0,2,0,0,2,0
1,RUBY,0,3,0,0,0,0
1,RUBY,0,4,0,0,0,0
2,ONYX,1,3,2,2,0,0
2,ONYX,1,3,0,3,0,2
2,ONYX,2,0,1,4,2,0
2,ONYX,2,0,0,5,3,0
2,ONYX,2,5,0,0,0,0
2,ONYX,3,0,0,0,0,6
2,SAPPHIRE,1,0,2,2,3,0
2,SAPPHIRE,1,0,2,3,0,3
2,SAPPHIRE,2,5,3,0,0,0
2,SAPPHIRE,2,2,0,0,1,4
2,SAPPHIRE,2,0,5,0,0,0
2,SAPPHIRE,3,0,6,0,0,0
2,DIAMOND,1,0,0,3,2,2
2,DIAMOND,1,2,3,0,3,0
2,DIAMOND,2,0,0,1,4,2
2,DIAMOND,2,0,0,0,5,3
2,DIAMOND,2,0,0,0,5,0
2,DIAMOND,3,6,0,0,0,0
2,EMERALD,1,3,0,2,3,0
2,EMERALD,1,2,3,0,0,2
2,EMERALD,2,4,2,0,1,0
2,EMERALD,2,0,5,3,0,0
2,EMERALD,2,0,0,5,0,0
2,EMERALD,3,0,0,6,0,0
2,RUBY,1,2,0,0,2,3
2,RUBY,1,0,3,0,2,3
2,RUBY,2,1,4,2,0,0
2,RUBY,2,3,0,0,0,5
2,RUBY,2,0,0,0,0,5
2,RUBY,3,0,0,0,6,0
3,ONYX,3,3,3,5,3,0
3,ONYX,4,0,0,0,7,0
3,ONYX,4,0,0,3,6,3
3,ONYX,5,0,0,0,7,3
3,SAPPHIRE,3,3,0,3,3,5
3,SAPPHIRE,4,7,0,0,0,0
3,SAPPHIRE,4,6,3,0,0,3
3,SAPPHIRE,5,7,3,0,0,0
3,DIAMOND,3,0,3,3,5,3
3,DIAMOND,4,0,0,0,0,7
3,DIAMOND,4,3,0,0,3,6
3,DIAMOND,5,3,0,0,0,7
3,EMERALD,3,5,3,0,3,3
3,EMERALD,4,0,7,0,0,0
3,EMERALD,4,3,6,3,0,0
3,EMERALD,5,0,7,3,0,0
3,RUBY,3,3,5,3,0,3
3,RUBY,4,0,0,7,0,0
3,RUBY,4,0,3,6,3,0
3,RUBY,5,0,0,7,3,0
